rating,review
0,"the entrance was the impressive thing about this place , as it is completely a surprise and almost shocks you . i won t give it up here but it s worth at least getting a drink to experience that part . n ngreeter was great . n nlounge singer was very s and campy , but liked him none the less . n n nfood is pretty below average in pretty much every way possible . n nbread they bring out is pretty bad and dries out within minutes of being at the table to the point it s inedible . n nsalads were small , boring and way drowned in dressing . n ncalamari is or so , and is half the size of what they d give you at capitol grille , and is pretty bland and mushy . n nthe pasta tasted as though it were cooked in rancid water . the chef was nice enough to come out and bring my wife a personalized dish that he eats , and it tasted the same . we smiled and pretended to enjoy it just to keep from looking like big complainers . we literally don t complain usually , but her first dish was inedible . n nmy lasagna was decent , but nothing spectacular and the sauce was too sweet but that s a matter of taste , so i digress . n ndesert it was spectacular . try the tiramisu , it is the best i ve ever had . canolis were great too . loved it . n nour server was new , and he told us as such , so he was pretty clueless overall , but very nice as well . n nbus boys were very attentive . n nservice overall was above average but the food was just so mediocre i can t think of a reason to talk myself into visiting again . n nif you go , get a drink , maybe an app , and head somewhere else for a good italian dinner . for god s sake , maggianos a chain kills this place at the same price point . you re better of there or macaroni grill truthfully . "
0,"i m a mclover , and i had no problem nwith the workers . but i have a problem waiting more than minutes for my cheeseburger . they weren t even busy ! this was my first and last time at this location . "
0,"less than good here , not terrible , but i see no reason to come back . n nchicken yakisoba was really boring . the chicken had zero flavor , it didn t taste seasoned at all or marinated . it tasted like a plain grilled chicken thigh . the noodles were lifeless , no flavor and mushy . the dish had no flavor . it was noodles , veg and chicken but nothing else . n nordered an egg roll , it was mushy . one bite and that was it . n nalso , i guy in wheel chair had no place to sit . this place has rows of booths and no place for a wheel chair . a little inconsiderate . "
0,"i don t know if i can ever bring myself to go back to this place . i had to pick up some supplies the other day for some ongoing health issues i ve been having . i d only ever been into the store once before , so i was just walking around trying to familiarize myself with everything so that i finally knew where to look for what i was looking for . at one point an employee walked up to me and said you have been here forever ! ! ! ! i d really only been there for about minutes , but maybe she could have said it like it wasn t an inconvenience that i d been there for a few minutes . i said i m just looking for a few things and i don t really know what i m looking for . i had a list with me from my doctor , so i told the woman what my doctor had suggested . she asked me and what health problems are you having ? . . . that was a very personal question that if i hadn t been okay talking to another woman about , i would have just told her to mind her own business . . . . but hoping that the more detail i gave her , the better she d be able to help me , i told her what unpleasant things i had been experiencing . she then looked at me with a disgusted look . . . . great , exactly what i was hoping she wouldn t do . she started handing me all these vitamins and supplements . . . that were not what my doctor was telling me about . so i said i m just looking for these few things and she said well it looks like this is the aisle you want to be in . here s another supplement as she handed me yet another bottle . i said what does this do ? and she said i don t know , but it s the berry from the same tree as that thing in your hand that your doctor suggested . i don t even know what that s for . i thanked her , told her i found what i was looking for , and when she left me , i put literally everything back that she had handed me because there was no way i was going to buy all this unwanted unneeded crap . as it was , i walked out of there after spending . i know vitamin shops can be expensive , but if i m going to spend on herbal remedies , they should at least pretend like my health problems aren t totally disgusting . "
0,"food was ok good but the service was terrible . fries came out cold but sandwiches were warm and good n nwe were repeatedly ignored by multiple members of the wait staff . there were open tables in sight so it was clearly not rush hour . our appetizers never came out so i cancelled them when our entrees came . waiter seemed be hiding from us as we could never find him to order drinks , appetizer , or ketchup . i eventually walked to another section of the restaurant to find another waiter who happily and rapidly got us drinks and ketchup . the two runners who brought us waters and our entrees said they would bring us drinks and appetizers , but were never seen from again n ni would never eat here again . "
0,"we had high expectations based on the yelp reviews , but was disappointed on the overall conditions of the grounds around the two restaurants and the maya farm . the maya firm was an actual pit , with weeds , mud , and huts in shambles . the chicken coop was in poor shape w animals drinking out of green water . the morning glory cafe was good . . . great attentive service and the food was excellent . but , the amount of flies made it unbearable to eat , and sitting on those white plastic chairs wasn t that cool . and , the grounds were just run down and really not ready for the public . a real gold mine , if the owners would invest in updating and cleaning up their property . hopefully , they will . "
0,"this was my second stay to the hotel . i loved the suites last year and thought it was a first rate hotel . my experience the second time was very disappointing . the suites are terrific here , but the service has fallen off and is certainly not star quality . the pool is quite a hike from the hotel and is used by mandalay bay guests , so it is extremely crowded . if you want to use the bathhouse spa , which i enjoyed very much last year , be sure to book far in advance . on this most recent stay , which was a last minute booking , there were no spa appointments available for the days that i was there . there was lots of waiting a customer service snaffus and although management was available to speak with , nothing was done to compensate for all of the issues . very disappointing . vegas has lots of rooms and i will certainly try somewhere else next visit . sorry , the hotel , you had me at hello , but lost me the second time around ! ! "
0,"we went there for our anniversary . i want to first say our server was great and we had perfect service . however , the food was not at what we expected at all ! we ordered the shrimp rolls which looked like there was shrimp in the roll but they cut it into what it looked like thirds or halves to make it look like there was more shrimp than there actually was . also the rice paper kinda grossed us out . we had never had it before , it was very rubbery . our entrees came out and my pasta was very bland and the orange chicken was something we could have made at home . our drinks and cheesecake were the best part of our whole dinner . we were disappointed because we were hoping for a nice dinner for our anniversary . "
0,"the only reason i got to edc within hours instead of is because i ran . miles there after my bus broke down . spent the whole night being sweaty and exhausted . never , ever , ever go with these guys . "
0,dont waste ur time poor service . . . wrong food order . . . bad food n . . never again for me
